id,category,direction,baseline,result,improvement,cohort,source_url,construction
pack_hsp4_n261,four-dimensional-balls,max,0.194780312043,0.19478103094151134,7.18898511331556e-07,announcement,https://packomania.com/hsp4/txt/hsp4-261.txt,records/four-dimensional-balls/pack_hsp4_n261/construction.json
pack_hsp4_n265,four-dimensional-balls,max,0.193821526678,0.1938218485004669,3.218224668977143e-07,announcement,https://packomania.com/hsp4/txt/hsp4-265.txt,records/four-dimensional-balls/pack_hsp4_n265/construction.json
pack_hsp4_n266,four-dimensional-balls,max,0.193616836431,0.19361844499606043,1.608565060429168e-06,announcement,https://packomania.com/hsp4/txt/hsp4-266.txt,records/four-dimensional-balls/pack_hsp4_n266/construction.json
pack_hsp4_n284,four-dimensional-balls,max,0.190411059207,0.19041260295140117,1.5437444011723311e-06,announcement,https://packomania.com/hsp4/txt/hsp4-284.txt,records/four-dimensional-balls/pack_hsp4_n284/construction.json
pack_hsp4_n285,four-dimensional-balls,max,0.190162824429,0.19016489233384254,2.0679048425287228e-06,announcement,https://packomania.com/hsp4/txt/hsp4-285.txt,records/four-dimensional-balls/pack_hsp4_n285/construction.json
pack_hsp4_n286,four-dimensional-balls,max,0.190015795234,0.1900167444403398,9.49206339806441e-07,announcement,https://packomania.com/hsp4/txt/hsp4-286.txt,records/four-dimensional-balls/pack_hsp4_n286/construction.json
pack_hsp4_n289,four-dimensional-balls,max,0.189698103066,0.18969881073559008,7.076695900942731e-07,announcement,https://packomania.com/hsp4/txt/hsp4-289.txt,records/four-dimensional-balls/pack_hsp4_n289/construction.json
pack_hsp4_n294,four-dimensional-balls,max,0.188826715133,0.18882777473625065,1.0596032506415831e-06,announcement,https://packomania.com/hsp4/txt/hsp4-294.txt,records/four-dimensional-balls/pack_hsp4_n294/construction.json
pack_hsp4_n54,four-dimensional-balls,max,0.276798004181,0.27679869568712684,6.915061268597533e-07,announcement,https://packomania.com/hsp4/txt/hsp4-54.txt,records/four-dimensional-balls/pack_hsp4_n54/construction.json
pack_hsp4_n62,four-dimensional-balls,max,0.268830626376,0.26883346077028064,2.834394280615271e-06,announcement,https://packomania.com/hsp4/txt/hsp4-62.txt,records/four-dimensional-balls/pack_hsp4_n62/construction.json
pack_hsp4_n67,four-dimensional-balls,max,0.264026543809,0.26407231826597294,4.57744569729579e-05,announcement,https://packomania.com/hsp4/txt/hsp4-67.txt,records/four-dimensional-balls/pack_hsp4_n67/construction.json
penintri_n30,pentagons,min,12.388931594090428,12.382402480454866,0.006529113635561856,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n30/construction.json
penintri_n32,pentagons,min,12.71117847507754,12.704927909969749,0.006250565107791317,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n32/construction.json
penintri_n33,pentagons,min,12.863919951364004,12.859850017642387,0.004069933721616792,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n33/construction.json
penintri_n34,pentagons,min,12.98141,12.97563735803487,0.005772641965130276,announcement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n34/construction.json
penintri_n36,pentagons,min,13.183541244629845,13.178411901366871,0.005129343262973762,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n36/construction.json
penintri_n37,pentagons,min,13.643594159525076,13.634303491279889,0.009290668245187206,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n37/construction.json
penintri_n38,pentagons,min,13.849956659137431,13.823132023718685,0.026824635418746468,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n38/construction.json
penintri_n39,pentagons,min,13.984314969529127,13.975213205316145,0.009101764212982033,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n39/construction.json
penintri_n40,pentagons,min,14.139537836278508,14.13674532714072,0.0027925091377891675,earlier-pentagon-refinement,https://erich-friedman.github.io/packing/penintri/,records/pentagons/penintri_n40/construction.json
qubit_routing,qubit-routing,min,258366.0,254226.0,4140.0,announcement,https://github.com/Tencent-Hunyuan/hyra-results/tree/main/AI4Science/qubit_routing,records/qubit-routing/qubit_routing/construction.json.gz
zhang_zagier_c82,zhang-zagier,min,0.2536331090204145,0.25357447490682267,5.863411359185999e-05,announcement,https://github.com/maaxgrin/zhang-zagier-c82-bound,records/zhang-zagier/zhang_zagier_c82/construction.json
